PLAYER,TEAM,GP,spotup_POSS,spotup_FREQ,spotup_PPP,spotup_PTS,spotup_FGM,spotup_FGA,spotup_FG%,spotup_EFG%,spotup_FTFREQ,spotup_TOVFREQ,spotup_SFFREQ,spotup_AND ONEFREQ,spotup_SCOREFREQ,spotup_PERCENTILE
Tyrese Haliburton,SAC,51,2.3,15.90%,1.14,2.6,0.9,2.1,44.80%,61.40%,3.40%,8.50%,3.40%,0.80%,42.40%,83.1
Cameron Payne,PHX,58,2.3,18.30%,1.02,2.3,0.8,2.1,40.20%,53.70%,2.30%,6.80%,2.30%,0.80%,38.30%,58.5
Talen Horton-Tucker,LAL,60,2.8,24.80%,0.8,2.3,0.8,2.5,32.20%,40.10%,6.00%,4.80%,5.40%,1.20%,33.90%,19
CJ Elleby,POR,58,2.7,38.70%,0.86,2.3,0.7,2.4,31.40%,41.60%,8.40%,3.20%,8.40%,0.60%,35.70%,26.2
Aleksej Pokusevski,OKC,61,2.9,31.00%,0.75,2.2,0.8,2.5,30.50%,41.10%,2.80%,12.40%,2.20%,0.00%,28.70%,14.7
Austin Reaves,LAL,61,2.3,34.50%,0.94,2.2,0.7,2.1,34.60%,47.30%,5.00%,2.90%,2.90%,0.70%,35.70%,39
Theo Maledon,OKC,51,3.3,39.80%,0.78,2.6,0.8,2.8,30.10%,38.10%,10.70%,7.70%,10.10%,3.00%,33.10%,17.1
Terrence Ross,ORL,63,1.9,17.90%,1.08,2.1,0.7,1.8,39.60%,51.40%,7.40%,2.50%,7.40%,1.70%,42.10%,70.3
Matisse Thybulle,PHI,66,2.2,41.30%,0.88,2,0.7,2.1,32.40%,46.70%,1.40%,6.10%,0.70%,0.00%,31.30%,29.3
Caris LeVert,IND,39,3.4,17.40%,0.98,3.3,1.3,3.1,40.50%,49.60%,4.50%,4.50%,3.80%,0.80%,40.90%,48.2
Ja Morant,MEM,57,2.4,8.80%,0.94,2.3,0.8,2.3,36.40%,46.90%,5.10%,3.60%,5.10%,2.20%,37.00%,37.4
Kyrie Irving,BKN,29,3.7,14.60%,1.17,4.3,1.5,3.4,44.40%,58.10%,5.60%,2.80%,4.70%,0.90%,45.80%,86.6
Dean Wade,CLE,51,2.4,50.00%,1.03,2.4,0.8,2.3,37.10%,51.30%,3.30%,1.70%,3.30%,0.80%,38.00%,60.7
Nemanja Bjelica,GSW,71,1.9,29.20%,0.91,1.7,0.6,1.6,35.40%,47.80%,8.10%,11.00%,8.10%,2.20%,35.30%,34.9
Bryn Forbes,SAS,40,2.7,31.40%,1.12,3,1.1,2.4,44.70%,57.40%,6.40%,9.20%,6.40%,1.80%,43.10%,79.3
Naz Reid,MIN,77,1.7,21.50%,0.9,1.6,0.5,1.5,35.60%,48.70%,3.70%,8.20%,3.00%,0.00%,34.30%,32.6
Killian Hayes,DET,66,2.3,25.40%,0.79,1.8,0.7,2.1,30.90%,41.40%,2.00%,7.20%,1.30%,0.00%,30.10%,18.2
Bryn Forbes,DEN,35,2.7,33.20%,1.29,3.4,1.2,2.4,48.20%,65.30%,5.40%,4.30%,4.30%,1.10%,48.40%,96.3
Stanley Johnson,LAL,48,2.8,42.80%,0.88,2.5,0.9,2.6,35.50%,46.40%,2.90%,5.90%,2.90%,0.00%,34.60%,28.9
Alex Caruso,CHI,41,3.2,37.80%,0.91,2.9,1,2.8,33.60%,45.70%,5.30%,6.10%,3.80%,0.00%,35.10%,33.3
Isaiah Joe,PHI,55,1.7,46.10%,1.26,2.1,0.7,1.6,41.40%,59.20%,8.50%,3.20%,8.50%,4.30%,42.60%,94.8
Cam Reddish,ATL,34,3.1,24.70%,1.12,3.5,1.1,2.8,40.00%,57.90%,4.80%,4.80%,4.80%,0.00%,41.00%,80
