PLAYER,TEAM,GP,pnr_handler_POSS,pnr_handler_FREQ,pnr_handler_PPP,pnr_handler_PTS,pnr_handler_FGM,pnr_handler_FGA,pnr_handler_FG%,pnr_handler_EFG%,pnr_handler_FTFREQ,pnr_handler_TOVFREQ,pnr_handler_SFFREQ,pnr_handler_ANDONEFREQ,pnr_handler_SCOREFREQ,pnr_handler_PERCENTILE
Jeremy Lamb,IND,39,1.8,24.30%,0.8,1.4,0.5,1.4,35.80%,36.80%,14.50%,11.60%,11.60%,2.90%,39.10%,38.4
Ish Smith,CHA,37,2,32.30%,0.74,1.5,0.7,1.6,41.00%,42.60%,5.40%,13.50%,2.70%,1.40%,35.10%,28.9
Kyle Anderson,MEM,69,0.9,10.80%,0.86,0.8,0.3,0.8,42.30%,43.30%,9.50%,9.50%,9.50%,1.60%,41.30%,54.2
Grayson Allen,MIL,66,0.9,9.20%,0.9,0.8,0.3,0.8,40.00%,50.00%,5.10%,13.60%,5.10%,3.40%,35.60%,66.4
Keon Johnson,POR,22,3.8,30.50%,0.64,2.4,0.8,2.8,27.90%,34.40%,7.20%,19.30%,4.80%,0.00%,27.70%,15.2
Seth Curry,BKN,19,2.8,22.40%,0.96,2.7,1.2,2.4,51.10%,55.60%,1.90%,14.80%,1.90%,0.00%,44.40%,78.9
Dennis Schroder,HOU,15,4.9,37.90%,0.7,3.5,1.5,3.8,40.40%,43.90%,2.70%,20.30%,4.10%,1.40%,32.40%,22.3
Saben Lee,DET,37,2.1,31.30%,0.68,1.4,0.4,1.3,29.80%,34.00%,15.60%,23.40%,11.70%,0.00%,33.80%,19.6
Josh Richardson,BOS,44,1.3,14.10%,0.86,1.1,0.5,1.1,42.00%,42.00%,8.60%,5.20%,5.20%,0.00%,43.10%,55.4
Aaron Holiday,PHX,22,3.5,46.40%,0.64,2.2,0.7,2.5,27.30%,30.00%,11.70%,19.50%,10.40%,2.60%,28.60%,14.6
Jeremy Lamb,SAC,17,2.4,29.30%,1.17,2.8,1.1,2.1,52.80%,58.30%,12.20%,7.30%,12.20%,7.30%,51.20%,95.8
D.J. Augustin,HOU,34,2.3,40.00%,0.62,1.4,0.4,1.3,26.70%,35.60%,11.50%,30.80%,7.70%,0.00%,26.90%,12.8
Josh Hart,NOP,41,1.5,11.30%,0.77,1.1,0.5,1.1,45.50%,51.10%,3.30%,24.60%,3.30%,0.00%,36.10%,31.6
Kelly Oubre Jr.,CHA,76,0.9,6.60%,0.66,0.6,0.3,0.8,32.30%,33.90%,5.60%,8.50%,5.60%,1.40%,32.40%,18.8
Donte DiVincenzo,SAC,25,3.2,28.10%,0.59,1.9,0.6,2.3,27.60%,32.80%,7.50%,21.30%,6.30%,1.30%,25.00%,11.6
Keifer Sykes,IND,32,2.3,32.90%,0.61,1.4,0.6,1.8,33.30%,36.80%,2.70%,21.30%,2.70%,0.00%,28.00%,12.5
Jaren Jackson Jr.,MEM,78,0.5,3.10%,1.1,0.6,0.2,0.4,57.60%,57.60%,12.20%,9.80%,12.20%,4.90%,53.70%,93.5
Isaiah Thomas,CHA,17,2.6,32.10%,1.02,2.6,1.1,2.2,47.40%,52.60%,4.50%,9.10%,2.30%,0.00%,45.50%,86.9
Skylar Mays,ATL,19,0.7,18.80%,1.54,1.1,0.4,0.5,88.90%,88.90%,23.10%,15.40%,15.40%,7.70%,76.90%,100
Gary Harris,ORL,61,1.4,13.10%,0.52,0.7,0.3,1.1,27.10%,30.00%,2.30%,16.30%,1.20%,0.00%,24.40%,8.6
Jarrett Culver,MEM,21,1.2,25.20%,0.69,1,0.4,1,38.10%,38.10%,7.70%,11.50%,3.80%,0.00%,34.60%,24.2
Joshua Primo,SAS,50,1.1,15.30%,0.8,0.9,0.3,0.8,42.50%,47.50%,5.60%,20.40%,3.70%,0.00%,37.00%,37.6
Alex Caruso,CHI,41,1.5,17.30%,0.72,1,0.4,1.1,36.40%,38.60%,10.00%,20.00%,10.00%,3.30%,33.30%,24.8
Miles McBride,NYK,13,1.2,30.20%,0.81,1,0.4,1.1,35.70%,46.40%,0.00%,12.50%,0.00%,0.00%,31.30%,46.2
Kira Lewis Jr.,NOP,24,2.5,34.10%,0.72,1.8,0.8,2.1,37.30%,39.20%,3.30%,11.70%,3.30%,0.00%,35.00%,24.8
OG Anunoby,TOR,48,1.3,7.30%,0.71,0.9,0.4,1.1,34.60%,40.40%,3.30%,13.10%,3.30%,1.60%,31.10%,22.9
Naji Marshall,NOP,55,1,14.90%,0.79,0.8,0.3,0.7,44.40%,45.80%,13.20%,24.50%,13.20%,5.70%,37.70%,35.7
Austin Reaves,LAL,61,0.7,10.60%,0.95,0.7,0.2,0.4,45.80%,45.80%,27.90%,20.90%,25.60%,4.70%,48.80%,77.4
Jae'Sean Tate,HOU,78,0.6,5.10%,0.83,0.5,0.2,0.4,56.30%,59.40%,2.10%,31.30%,2.10%,0.00%,39.60%,49.6
Rajon Rondo,CLE,21,2.6,36.20%,0.74,1.9,0.7,1.7,40.00%,45.70%,9.30%,27.80%,5.60%,1.90%,33.30%,28.1
Kris Dunn,POR,14,4.1,40.10%,0.7,2.9,1.3,3,42.90%,42.90%,7.00%,24.60%,7.00%,5.30%,33.30%,21.7
Darius Bazley,OKC,69,0.9,7.30%,0.68,0.6,0.2,0.6,32.60%,36.00%,11.90%,16.90%,11.90%,1.70%,33.90%,20
Frank Jackson,DET,53,1.1,10.50%,0.68,0.8,0.3,1,31.40%,36.30%,3.40%,10.20%,3.40%,0.00%,30.50%,20
Jevon Carter,MIL,20,1.6,35.20%,1.22,2,0.8,1.4,55.60%,68.50%,3.10%,12.50%,0.00%,0.00%,50.00%,97.9
