PLAYER,TEAM,GP,transition_POSS,transition_FREQ,transition_PPP,transition_PTS,transition_FGM,transition_FGA,transition_FG%,transition_EFG%,transition_FTFREQ,transition_TOVFREQ,transition_SFFREQ,transition_AND ONEFREQ,transition_SCOREFREQ,transition_PERCENTILE
Doug McDermott,SAS,51,1.8,17.60%,1.31,2.4,0.8,1.6,51.30%,69.40%,7.50%,5.40%,7.50%,0.00%,50.50%,81.4
Jaylen Nowell,MIN,62,1.6,20.20%,1.24,2,0.7,1.3,54.30%,60.50%,19.40%,5.10%,19.40%,7.10%,56.10%,71.9
Derrick White,SAS,49,2.3,15.90%,1.05,2.5,0.8,1.7,46.40%,51.20%,19.10%,14.80%,17.40%,7.00%,46.10%,36.1
Jaden McDaniels,MIN,70,2,21.00%,0.88,1.7,0.7,1.5,45.70%,49.00%,9.40%,16.70%,9.40%,2.20%,42.00%,12.4
Max Strus,MIA,68,1.3,14.10%,1.32,1.8,0.6,1.2,52.50%,68.80%,6.70%,5.60%,6.70%,1.10%,52.20%,83.2
Tyus Jones,MEM,73,1.3,15.40%,1.23,1.6,0.7,1.2,53.30%,62.20%,5.20%,2.10%,4.20%,1.00%,53.10%,70.9
Jonathan Kuminga,GSW,71,1.5,16.50%,1.15,1.7,0.6,1.1,58.40%,61.00%,18.40%,9.70%,16.50%,2.90%,58.30%,53.5
Alec Burks,NYK,81,1.1,9.50%,1.33,1.4,0.4,0.8,50.00%,62.90%,23.90%,5.70%,20.50%,4.50%,56.80%,84.2
Austin Reaves,LAL,61,1.4,20.40%,1.39,1.9,0.6,1,57.60%,67.80%,26.50%,9.60%,22.90%,7.20%,60.20%,90.2
Duncan Robinson,MIA,79,1.2,11.50%,1.24,1.5,0.5,1.1,44.40%,62.20%,3.20%,1.10%,3.20%,1.10%,45.20%,72.3
Tim Hardaway Jr.,DAL,42,2.5,17.40%,1.09,2.7,1,2.2,47.30%,53.80%,12.30%,2.80%,13.20%,3.80%,48.10%,43.3
