Player,Age,zero,one,two,three,four,five,Signed,Guaranteed,Team 
Wenyen Gabriel,25,"$29,814","$1,878,720",,,,,Minimum Salary,"$29,814",Lakers
Mason Jones,23,,,,,,,Two-Way Contract,,Lakers
Mac McClung,23,,,,,,,Two-Way Contract,,Lakers
Luol Deng,37,"$5,000,000",,,,,,,"$5,000,000",Lakers
DeAndre Jordan,33,"$2,641,691",,,,,,,"$2,641,691",Lakers
Trevor Ariza,37,"$2,641,691",,,,,,,"$2,641,691",Lakers
Paul George,32,"$39,344,970","$42,492,568","$45,640,165","$48,787,763",,,Bird,"$127,477,703",Clippers
Kawhi Leonard,31,"$39,344,900","$42,492,492","$45,640,084","$48,787,676",,,Early Bird,"$127,477,476",Clippers
Marcus Morris,32,"$15,627,907","$16,372,093","$17,116,279",,,,Non Bird,"$49,116,279",Clippers
Norman Powell,29,"$15,517,242","$16,758,621","$18,000,000","$19,241,379","$20,482,758",,Bird,"$90,000,000",Clippers
Robert Covington,31,"$12,975,471","$12,000,000","$12,000,000",,,,Cap Space,"$36,975,471",Clippers
Luke Kennard,26,"$12,727,273","$13,745,455","$14,763,636","$14,763,636",,,Bird,"$41,236,364",Clippers
Reggie Jackson,32,"$10,384,500","$11,215,260",,,,,Early Bird,"$21,599,760",Clippers
Rodney Hood,29,"$2,239,544",,,,,,Minimum Salary,"$2,239,544",Clippers
Terance Mann,25,"$1,782,621","$1,930,681","$10,576,923","$11,423,077",,,Minimum Salary,"$25,713,302",Clippers
Isaiah Hartenstein,24,"$1,729,217",,,,,,Minimum Salary,"$1,729,217",Clippers
Jason Preston,22,"$1,062,303","$1,563,518","$1,836,096",,,,Mini MLE,"$2,625,821",Clippers
Brandon Boston Jr.,20,"$925,258","$1,563,518","$1,836,096",,,,Mini MLE,"$2,488,776",Clippers
Amir Coffey,25,"$153,488",,,,,,Minimum Salary,"$153,488",Clippers
Xavier Moon,27,,,,,,,Two-Way Contract,"$159,528",Clippers
Jay Scrubb,21,,,,,,,Two-Way Contract,,Clippers
Semi Ojeleye,27,"$1,789,256",,,,,,,"$1,789,256",Clippers
Buddy Hield,29,"$22,477,273","$20,522,727","$18,568,182",,,,1st Round pick,"$61,568,182",Pacers
Malcolm Brogdon,29,"$21,700,000","$22,600,000","$21,634,615","$23,365,385",,,Sign and Trade,"$89,300,000",Pacers
Ricky Rubio,31,"$17,800,000",,,,,,Cap Space,"$17,800,000",Pacers
Myles Turner,26,"$17,500,000","$17,500,000",,,,,1st Round pick,"$35,000,000",Pacers
T.J. Warren,28,"$12,690,000",,,,,,1st Round Pick,"$12,690,000",Pacers
T.J. McConnell,30,"$7,500,000","$8,100,000","$8,700,000","$9,300,000",,,Early Bird,"$29,300,000",Pacers
Jalen Smith,22,"$4,458,000","$4,670,160","$5,954,454",,,,1st Round Pick,"$4,458,000",Pacers
Tyrese Haliburton,22,"$4,023,600","$4,215,120","$5,808,435",,,,1st Round Pick,"$8,238,720",Pacers
Chris Duarte,25,"$3,749,520","$3,936,960","$4,124,280","$5,893,596",,,1st Round Pick,"$7,686,480",Pacers
Goga Bitadze,22,"$3,098,400","$4,765,339",,,,,1st Round Pick,"$7,863,739",Pacers
Isaiah Jackson,20,"$2,451,120","$2,573,760","$2,696,280","$4,435,381",,,1st Round Pick,"$5,024,880",Pacers
Oshae Brissett,24,"$1,701,593","$1,846,738",,,,,MLE,"$1,701,593",Pacers
Duane Washington Jr.,22,"$950,000","$1,563,518","$1,836,096",,,,Minimum Salary,"$950,000",Pacers
Lance Stephenson,31,"$924,730",,,,,,Minimum Salary,"$1,476,806",Pacers
Terry Taylor,22,"$600,000","$1,563,518","$1,836,096",,,,Minimum Salary,"$1,225,000",Pacers
Nate Hinton,23,,,,,,,Two-Way Contract,"$85,578",Pacers
Gabe York,28,,,,,,,Two-Way Contract,,Pacers
Tristan Thompson,31,"$8,946,611",,,,,,,"$8,946,611",Pacers
Monta Ellis,36,"$2,245,400",,,,,,,"$2,245,400",Pacers
Brad Wanamaker,32,"$715,538",,,,,,,"$715,538",Pacers
Keifer Sykes,28,"$558,345",,,,,,,"$558,345",Pacers
John Wall,31,"$44,310,840","$40,866,760",,,,,Bird Rights,"$85,177,600",Rockets
Eric Gordon,33,"$18,218,818","$19,568,360","$20,917,902",,,,Cap Space,"$37,787,178",Rockets
Christian Wood,26,"$13,666,667",,,,,,Sign and Trade,"$13,666,667",Rockets
Jalen Green,20,"$8,992,200","$9,441,720","$9,891,600","$12,483,199",,,1st Round Pick,"$18,433,920",Rockets
Dennis Schröder,28,"$5,890,000",,,,,,Mini MLE,"$5,890,000",Rockets
David Nwaba,29,"$4,650,000","$5,022,000","$5,394,000",,,,Early Bird,"$9,672,000",Rockets
Alperen Şengün,19,"$3,214,680","$3,375,480","$3,536,400","$5,424,838",,,1st Round Pick,"$6,590,160",Rockets
Usman Garuba,20,"$2,353,320","$2,471,160","$2,588,400","$4,392,515",,,1st Round Pick,"$4,824,480",Rockets
Josh Christopher,20,"$2,259,240","$2,372,160","$2,485,200","$4,346,615",,,1st Round Pick,"$4,631,400",Rockets
Garrison Mathews,25,"$2,000,000","$2,000,000","$2,000,000","$2,230,253",,,Cap Space,"$2,000,000",Rockets
Kevin Porter Jr.,22,"$1,782,621","$3,217,631",,,,,1st Round Pick,"$5,000,252",Rockets
Bruno Fernando,23,"$1,782,621",,,,,,Cap space,"$1,782,621",Rockets
Kenyon Martin Jr.,21,"$1,517,981","$1,782,621","$1,930,681",,,,MLE,"$1,517,981",Rockets
Jae'Sean Tate,26,"$1,517,981","$1,782,621",,,,,MLE,"$1,517,981",Rockets
Daishen Nix,20,"$612,000","$1,563,518","$1,836,096","$1,988,598",,,Minimum Salary,"$2,175,518",Rockets
